t,raw,filtered,,,raw,filtered
0.078,0.578471,0.578471,,,0.707544,0.562880
0.079,0.539904,0.539904,,,0.4583,0.560185
0.08,0.559776,0.559776,,,0.724818,0.559384
0.081,0.538042,0.538042,,,0.425309,0.545907
0.082,0.555909,0.555909,,,0.544468,0.551242
0.083,0.563439,0.563439,,,0.556323,0.552463
0.084,0.547708,0.547708,,,0.313213,0.555685
0.085,0.552284,0.552284,,,0.800082,0.554477
0.086,0.50345,0.50345,,,0.47517,0.534481
0.087,0.465162,0.465162,,,0.5627,0.506965
0.088,0.418612,0.418612,,,0.629906,0.462408
0.089,0.321762,0.321762,,,0.534501,0.401845
0.09,0.249861,0.249861,,,0.508633,0.330078
0.091,0.135155,0.135155,,,0.187642,0.235593
0.092,0.058606,0.058606,,,0.004143,0.147874
0.093,0.013375,0.013375,,,0.032424,0.069045
0.094,-0.071347,-0.071347,,,-0.50903,0.000211
0.095,-0.130251,-0.130251,,,-0.477699,-0.062741
0.096,-0.138294,-0.138294,,,-0.461688,-0.113297
0.097,-0.16009,-0.16009,,,-0.366869,-0.142878
0.098,-0.134198,-0.134198,,,0.065166,-0.144194
0.099,-0.15671,-0.15671,,,-0.302036,-0.150333
0.1,-0.112077,-0.112077,,,-0.113449,-0.134328
0.101,-0.094303,-0.094303,,,0.420161,-0.121030
0.102,-0.066699,-0.066699,,,-0.052113,-0.091026
0.103,-0.022351,-0.022351,,,0.28895,-0.061118
0.104,-0.095128,-0.095128,,,-0.215207,-0.061393
0.105,-0.083915,-0.083915,,,-0.018066,-0.067131
0.106,-0.103531,-0.103531,,,-0.282177,-0.094191
0.107,-0.202084,-0.202084,,,-0.15805,-0.129843
0.108,-0.287598,-0.287598,,,0.12096,-0.197738
0.109,-0.367898,-0.367898,,,-0.735384,-0.285860
0.11,-0.422229,-0.422229,,,-0.17869,-0.359242
0.111,-0.475328,-0.475328,,,-0.329221,-0.421818
0.112,-0.510066,-0.510066,,,-0.663927,-0.469208
0.113,-0.511411,-0.511411,,,-0.992769,-0.498935
0.114,-0.585652,-0.585652,,,-0.594352,-0.535710
0.115,-0.600148,-0.600148,,,-0.812838,-0.565737
0.116,-0.629114,-0.629114,,,-0.602162,-0.604971
0.117,-0.640446,-0.640446,,,-0.664289,-0.623236
0.118,-0.58843,-0.58843,,,-0.17285,-0.619330
0.119,-0.520342,-0.520342,,,-0.695693,-0.583073
0.12,-0.502678,-0.502678,,,-0.894835,-0.537150
0.121,-0.437853,-0.437853,,,-0.497321,-0.486958
0.122,-0.469014,-0.469014,,,-0.453868,-0.469848
0.123,-0.485432,-0.485432,,,-0.091752,-0.464100
0.124,-0.561202,-0.561202,,,-0.243802,-0.505216
0.125,-0.582136,-0.582136,,,-0.400045,-0.542923
0.126,-0.619141,-0.619141,,,-0.099766,-0.587493
0.127,-0.644051,-0.644051,,,-0.944937,-0.615109
0.128,-0.70181,-0.70181,,,-0.844882,-0.655001
0.129,-0.830538,-0.830538,,,-1.006324,-0.725466
0.13,-0.935254,-0.935254,,,-0.92596,-0.822534
0.131,-0.989885,-0.989885,,,-1.30189,-0.918559
0.132,-1.056099,-1.056099,,,-0.77134,-0.993746
0.133,-1.010951,-1.010951,,,-1.089212,-1.018978
0.134,-0.945828,-0.945828,,,-1.50776,-1.004293
0.135,-0.929502,-0.929502,,,-1.39568,-0.962094
0.136,-0.953992,-0.953992,,,-1.000984,-0.943107
0.137,-0.971151,-0.971151,,,-0.82812,-0.951548
0.138,-0.967738,-0.967738,,,-0.448314,-0.964294
0.139,-0.962897,-0.962897,,,-0.128525,-0.967262
0.14,-0.908764,-0.908764,,,-0.826734,-0.946466
0.141,-0.871478,-0.871478,,,-1.195352,-0.914380
0.142,-0.860115,-0.860115,,,-1.49064,-0.880119
0.143,-0.835802,-0.835802,,,-0.7338,-0.855798
0.144,-0.876009,-0.876009,,,-1.035958,-0.857309
0.145,-0.95956,-0.95956,,,-0.912296,-0.890457
0.146,-1.00913,-1.00913,,,-0.985532,-0.948233
0.147,-1.047552,-1.047552,,,-0.875996,-1.005414
0.148,-1.030517,-1.030517,,,-0.560676,-1.029066
0.149,-1.072759,-1.072759,,,-0.890589,-1.050276
0.15,-1.038337,-1.038337,,,-1.04759,-1.047204
0.151,-1.058438,-1.058438,,,-1.372006,-1.056511
0.152,-1.045472,-1.045472,,,-1.617989,-1.047416
0.153,-1.078193,-1.078193,,,-1.303258,-1.060701
0.154,-1.152457,-1.152457,,,-1.198461,-1.092041
0.155,-1.184275,-1.184275,,,-0.657309,-1.138308
0.156,-1.188735,-1.188735,,,-1.133416,-1.175156
0.157,-1.079796,-1.079796,,,-0.842898,-1.150935
0.158,-1.02383,-1.02383,,,-1.235929,-1.097454
0.159,-0.94745,-0.94745,,,-1.37758,-1.017025
0.16,-0.925943,-0.925943,,,-1.240592,-0.965741
0.161,-0.903153,-0.903153,,,-1.096645,-0.925515
0.162,-0.853156,-0.853156,,,-0.173679,-0.894084
0.163,-0.846871,-0.846871,,,-1.002367,-0.867727
0.164,-0.805196,-0.805196,,,-0.463069,-0.835074
0.165,-0.771367,-0.771367,,,-0.961885,-0.807811
0.166,-0.723871,-0.723871,,,-0.406623,-0.766811
0.167,-0.717318,-0.717318,,,-0.583453,-0.737519
0.168,-0.817856,-0.817856,,,-0.773762,-0.753015
0.169,-0.845146,-0.845146,,,-0.777506,-0.793440
0.17,-0.880806,-0.880806,,,-1.005453,-0.847936
0.171,-0.82982,-0.82982,,,-0.718137,-0.851924
0.172,-0.863319,-0.863319,,,-1.024565,-0.857982
0.173,-0.882148,-0.882148,,,-1.279596,-0.858429
0.174,-0.865348,-0.865348,,,-1.302561,-0.870272
0.175,-0.812483,-0.812483,,,-0.85533,-0.853326
0.176,-0.760575,-0.760575,,,-0.401031,-0.812802
0.177,-0.744521,-0.744521,,,-0.775118,-0.772526
0.178,-0.652775,-0.652775,,,-0.790573,-0.719290
0.179,-0.551258,-0.551258,,,-0.588963,-0.649518
0.18,-0.414049,-0.414049,,,-0.195985,-0.539361
0.181,-0.35271,-0.35271,,,-0.434465,-0.439339
0.182,-0.371042,-0.371042,,,-0.541548,-0.379267
0.183,-0.360669,-0.360669,,,-0.015351,-0.361474
0.184,-0.26895,-0.26895,,,-0.162915,-0.333554
0.185,-0.196491,-0.196491,,,0.206736,-0.275370
0.186,-0.214551,-0.214551,,,-0.180598,-0.226664
0.187,-0.2188,-0.2188,,,-0.602685,-0.209947
0.188,-0.164252,-0.164252,,,-0.661015,-0.199201
0.189,-0.227375,-0.227375,,,0.218344,-0.203476
0.19,-0.269369,-0.269369,,,0.208083,-0.220332
0.191,-0.299304,-0.299304,,,-0.39465,-0.265349
0.192,-0.316912,-0.316912,,,-0.481203,-0.295195
0.193,-0.278658,-0.278658,,,0.058487,-0.298291
0.194,-0.231497,-0.231497,,,-0.709706,-0.275689
0.195,-0.24214,-0.24214,,,-0.624853,-0.250765
0.196,-0.214197,-0.214197,,,-0.122546,-0.229278
0.197,-0.159454,-0.159454,,,-0.374293,-0.205264
0.198,-0.074881,-0.074881,,,-0.181884,-0.149511
0.199,-0.107426,-0.107426,,,-0.142247,-0.113920
0.2,-0.011833,-0.011833,,,0.101272,-0.064713
0.201,0.056301,0.056301,,,0.515459,-0.020986
0.202,0.068742,0.068742,,,0.207523,0.037737
0.203,0.112114,0.112114,,,0.449093,0.079052
0.204,0.150518,0.150518,,,-0.299507,0.110458
0.205,0.216521,0.216521,,,0.341819,0.159718
0.206,0.196316,0.196316,,,0.124624,0.187785
0.207,0.17307,0.17307,,,0.014303,0.195302
0.208,0.162395,0.162395,,,0.102801,0.177260
0.209,0.134047,0.134047,,,0.240557,0.156504
0.21,0.211713,0.211713,,,0.583788,0.169385
0.211,0.221818,0.221818,,,-0.120983,0.189193
0.212,0.27853,0.27853,,,0.259757,0.237354
0.213,0.311041,0.311041,,,0.090094,0.270463
0.214,0.328195,0.328195,,,0.137266,0.305922
0.215,0.353656,0.353656,,,0.554818,0.330964
0.216,0.368535,0.368535,,,0.452977,0.350129
0.217,0.452984,0.452984,,,0.748457,0.391725
0.218,0.474624,0.474624,,,0.371918,0.432048
0.219,0.548425,0.548425,,,0.291497,0.492011
0.22,0.624635,0.624635,,,0.520628,0.549228
0.221,0.726417,0.726417,,,0.747459,0.633159
0.222,0.819326,0.819326,,,0.807953,0.723459
0.223,0.808747,0.808747,,,0.497799,0.784830
0.224,0.84455,0.84455,,,0.901905,0.824208
0.225,0.851685,0.851685,,,0.975575,0.834994
0.226,0.857815,0.857815,,,1.674422,0.851350
0.227,0.864542,0.864542,,,1.474968,0.858014
0.228,0.887519,0.887519,,,0.632097,0.869959
0.229,0.884752,0.884752,,,0.765743,0.878938
0.23,0.847739,0.847739,,,0.369984,0.873337
0.231,0.765453,0.765453,,,0.588065,0.832648
0.232,0.67752,0.67752,,,0.821452,0.763571
0.233,0.588295,0.588295,,,1.060695,0.677089
0.234,0.596308,0.596308,,,0.46737,0.620708
0.235,0.589241,0.589241,,,0.494763,0.591281
0.236,0.645953,0.645953,,,0.070429,0.610501
0.237,0.643294,0.643294,,,0.707151,0.626163
0.238,0.632036,0.632036,,,0.493495,0.640428
0.239,0.70027,0.70027,,,0.720246,0.658533
0.24,0.730642,0.730642,,,0.687998,0.687649
0.241,0.763236,0.763236,,,0.993818,0.731383
0.242,0.912146,0.912146,,,0.558822,0.802008
0.243,1.028505,1.028505,,,0.697607,0.901296
0.244,1.048173,1.048173,,,1.811273,0.996275
0.245,1.063562,1.063562,,,0.801462,1.046747
0.246,1.095577,1.095577,,,0.85329,1.069104
0.247,1.132419,1.132419,,,1.708439,1.097186
0.248,1.130499,1.130499,,,1.987104,1.119498
0.249,1.133291,1.133291,,,0.70984,1.132070
0.25,1.061438,1.061438,,,0.889525,1.108409
0.251,1.072442,1.072442,,,1.04017,1.089057
0.252,1.058622,1.058622,,,1.399079,1.064167
0.253,0.977026,0.977026,,,0.537701,1.036030
0.254,0.840564,0.840564,,,0.72832,0.958737
0.255,0.855997,0.855997,,,1.02089,0.891196
0.256,0.859019,0.859019,,,0.922506,0.851860
0.257,0.866002,0.866002,,,0.701267,0.860339
0.258,0.821809,0.821809,,,0.810879,0.848943
0.259,0.885336,0.885336,,,0.486022,0.857716
0.26,0.945927,0.945927,,,0.879604,0.884357
0.261,0.954314,0.954314,,,0.922768,0.928526
0.262,0.973002,0.973002,,,1.116985,0.957748
0.263,0.998145,0.998145,,,0.91296,0.975154
0.264,1.005238,1.005238,,,1.2365,0.992128
0.265,1.014923,1.014923,,,1.394821,1.006102
0.266,1.009804,1.009804,,,1.113147,1.009988
0.267,0.982622,0.982622,,,1.128072,1.002450
0.268,0.991647,0.991647,,,0.977832,0.994691
0.269,1.000538,1.000538,,,0.888909,0.991602
0.27,0.944753,0.944753,,,0.59255,0.978979
0.271,0.84208,0.84208,,,0.8233,0.929124
0.272,0.755956,0.755956,,,0.62377,0.847596
0.273,0.733151,0.733151,,,1.216258,0.777062
0.274,0.701523,0.701523,,,1.010764,0.730210
0.275,0.687243,0.687243,,,0.622861,0.707306
0.276,0.642512,0.642512,,,0.265419,0.677093
0.277,0.652359,0.652359,,,0.165785,0.660705
0.278,0.669032,0.669032,,,0.87721,0.654634
0.279,0.589266,0.589266,,,0.629928,0.636886
0.28,0.543972,0.543972,,,0.731828,0.600757
0.281,0.55054,0.55054,,,0.100511,0.561259
0.282,0.578656,0.578656,,,0.931615,0.557723
0.283,0.599769,0.599769,,,0.807171,0.576322
0.284,0.553613,0.553613,,,0.338836,0.577346
0.285,0.517567,0.517567,,,0.512533,0.556983
0.286,0.474943,0.474943,,,0.695106,0.515374
0.287,0.517858,0.517858,,,0.574691,0.503456
0.288,0.368288,0.368288,,,0.39803,0.453696
0.289,0.288192,0.288192,,,0.369495,0.391446
0.29,0.258242,0.258242,,,0.233424,0.304907
0.291,0.213822,0.213822,,,0.262956,0.253419
0.292,0.134334,0.134334,,,0.57258,0.202133
0.293,0.0292,0.0292,,,-0.713658,0.125785
0.294,-0.000802,-0.000802,,,-0.073885,0.054244
0.295,0.012717,0.012717,,,0.009388,0.013705
0.296,-0.047573,-0.047573,,,0.02392,-0.011886
0.297,-0.042941,-0.042941,,,-0.179269,-0.025932
0.298,-0.097799,-0.097799,,,-0.581783,-0.062771
0.299,-0.028695,-0.028695,,,0.068006,-0.056478
0.3,-0.046734,-0.046734,,,0.518205,-0.057743
0.301,-0.056451,-0.056451,,,-0.429766,-0.043960
0.302,-0.028292,-0.028292,,,0.313915,-0.043826
0.303,-0.008025,-0.008025,,,-0.030862,-0.030923
0.304,0.072365,0.072365,,,0.046481,0.012016
0.305,0.070201,0.070201,,,-0.272304,0.044847
0.306,-0.001346,-0.001346,,,-0.097507,0.047073
0.307,0.041133,0.041133,,,0.333674,0.036663
0.308,-0.026246,-0.026246,,,0.043664,0.004514
0.309,-0.056858,-0.056858,,,0.302506,-0.013990
0.31,-0.128626,-0.128626,,,0.044207,-0.070577
0.311,-0.163144,-0.163144,,,-0.268815,-0.116209
0.312,-0.234286,-0.234286,,,0.037499,-0.175352
0.313,-0.29703,-0.29703,,,-0.427253,-0.231487
0.314,-0.389852,-0.389852,,,-0.367594,-0.307056
0.315,-0.449451,-0.449451,,,-0.742962,-0.378778
0.316,-0.508769,-0.508769,,,-0.652001,-0.449357
0.317,-0.499649,-0.499649,,,-0.880072,-0.485956
0.318,-0.52799,-0.52799,,,-0.356509,-0.512136
0.319,-0.484434,-0.484434,,,-0.977378,-0.504024
0.32,-0.477187,-0.477187,,,-0.35308,-0.496537
0.321,-0.501497,-0.501497,,,-0.608299,-0.487706
0.322,-0.497533,-0.497533,,,-0.168493,-0.492072
0.323,-0.508849,-0.508849,,,-0.274248,-0.502626
0.324,-0.556788,-0.556788,,,0.051858,-0.521057
0.325,-0.500267,-0.500267,,,-0.287874,-0.521968
0.326,-0.53159,-0.53159,,,-1.010369,-0.529548
0.327,-0.582795,-0.582795,,,-0.608394,-0.538217
0.328,-0.688083,-0.688083,,,-1.004558,-0.600823
0.329,-0.759214,-0.759214,,,-0.883836,-0.676697
0.33,-0.89629,-0.89629,,,-0.355648,-0.781196
0.331,-0.987972,-0.987972,,,-0.697624,-0.881159
0.332,-0.985753,-0.985753,,,-1.171564,-0.956672
0.333,-0.994148,-0.994148,,,-1.326661,-0.989291
0.334,-0.977375,-0.977375,,,-1.056683,-0.985759
0.335,-1.045975,-1.045975,,,-1.455975,-1.005833
0.336,-1.087024,-1.087024,,,-1.29638,-1.036791
0.337,-1.099005,-1.099005,,,-0.985955,-1.077335
0.338,-1.055221,-1.055221,,,-0.70074,-1.080417
0.339,-0.962544,-0.962544,,,-0.820056,-1.038923
0.34,-0.99436,-0.99436,,,-1.638443,-1.004042
0.341,-0.95102,-0.95102,,,-0.80718,-0.969308
0.342,-0.892848,-0.892848,,,-0.829416,-0.946076
0.343,-0.926393,-0.926393,,,-0.689946,-0.923420
0.344,-0.907682,-0.907682,,,-0.307213,-0.908974
0.345,-0.913994,-0.913994,,,-1.40666,-0.916023
0.346,-0.838439,-0.838439,,,-0.979234,-0.886705
0.347,-0.882047,-0.882047,,,-0.656487,-0.878160
0.348,-0.889667,-0.889667,,,-1.354948,-0.870051
0.349,-0.905289,-0.905289,,,-0.494918,-0.892334
0.35,-0.978981,-0.978981,,,-0.889493,-0.924646
0.351,-0.951301,-0.951301,,,-0.807335,-0.945190
0.352,-0.958335,-0.958335,,,-1.286867,-0.962872
0.353,-1.020941,-1.020941,,,-0.913236,-0.976859
0.354,-0.994705,-0.994705,,,-0.861785,-0.991327
0.355,-1.040332,-1.040332,,,-1.117825,-1.018659
0.356,-1.028929,-1.028929,,,-1.102178,-1.021322
0.357,-1.002105,-1.002105,,,-1.056617,-1.023789
0.358,-0.982709,-0.982709,,,-1.345144,-1.004581
0.359,-0.968062,-0.968062,,,-1.066356,-0.984292
0.36,-0.912133,-0.912133,,,-0.996813,-0.954301
0.361,-0.893165,-0.893165,,,-0.764059,-0.924453
0.362,-0.878932,-0.878932,,,-0.512272,-0.894743
0.363,-0.843428,-0.843428,,,-1.073512,-0.871842
0.364,-0.767684,-0.767684,,,-0.752118,-0.830015
0.365,-0.743978,-0.743978,,,-0.24657,-0.785030
0.366,-0.694565,-0.694565,,,-0.909172,-0.735409
0.367,-0.682472,-0.682472,,,-0.945614,-0.707005
0.368,-0.695844,-0.695844,,,-0.666079,-0.690960
0.369,-0.666702,-0.666702,,,-0.511962,-0.681673
0.37,-0.61731,-0.61731,,,-0.805589,-0.659952
0.371,-0.680014,-0.680014,,,-0.45327,-0.654675
0.372,-0.726832,-0.726832,,,-0.631032,-0.674719
0.373,-0.665749,-0.665749,,,-0.659368,-0.690865
0.374,-0.679016,-0.679016,,,-0.752945,-0.690532
0.375,-0.682967,-0.682967,,,-0.208811,-0.675911
0.376,-0.619497,-0.619497,,,-0.936307,-0.660493
0.377,-0.660013,-0.660013,,,-1.424172,-0.654159
0.378,-0.668349,-0.668349,,,-0.273705,-0.649286
0.379,-0.678582,-0.678582,,,-0.81202,-0.668981
0.38,-0.654881,-0.654881,,,-0.555421,-0.667271
0.381,-0.645323,-0.645323,,,-0.107415,-0.659595
0.382,-0.567303,-0.567303,,,-0.898948,-0.622502
0.383,-0.453077,-0.453077,,,-0.722732,-0.555234
0.384,-0.491901,-0.491901,,,-0.771926,-0.504094
0.385,-0.509176,-0.509176,,,-0.492231,-0.484718
0.386,-0.488182,-0.488182,,,-0.103677,-0.496420
0.387,-0.524579,-0.524579,,,-0.078088,-0.507312
0.388,-0.464868,-0.464868,,,-0.167685,-0.492543
0.389,-0.414348,-0.414348,,,-0.700764,-0.467932
0.39,-0.372806,-0.372806,,,-1.002048,-0.417341
0.391,-0.336012,-0.336012,,,-0.324488,-0.374389
0.392,-0.343601,-0.343601,,,-0.50778,-0.350806
0.393,-0.338441,-0.338441,,,-0.242131,-0.339351
0.394,-0.350889,-0.350889,,,-0.167007,-0.344310
0.395,-0.292081,-0.292081,,,-0.314962,-0.327137
0.396,-0.187146,-0.187146,,,-0.087505,-0.276705
0.397,-0.118873,-0.118873,,,-0.187148,-0.199367
0.398,-0.060185,-0.060185,,,-0.021328,-0.122068
0.399,0.004726,0.004726,,,-0.304616,-0.058111
0.4,0.045062,0.045062,,,-0.053883,-0.003466
0.401,0.104815,0.104815,,,0.152247,0.051534
0.402,0.169934,0.169934,,,0.426506,0.106604
0.403,0.165887,0.165887,,,0.137789,0.146879
0.404,0.163449,0.163449,,,0.471895,0.166423
0.405,0.17881,0.17881,,,0.276683,0.169382
0.406,0.14524,0.14524,,,0.34233,0.162500
0.407,0.135681,0.135681,,,0.628802,0.153244
0.408,0.138741,0.138741,,,-0.231671,0.139887
0.409,0.139861,0.139861,,,-0.048147,0.138094
0.41,0.125446,0.125446,,,-0.135639,0.134683
0.411,0.156502,0.156502,,,-0.42315,0.140603
0.412,0.193158,0.193158,,,0.047088,0.158369
0.413,0.172133,0.172133,,,0.460175,0.173931
0.414,0.27559,0.27559,,,0.150103,0.213627
0.415,0.335915,0.335915,,,0.313328,0.261213
0.416,0.386745,0.386745,,,0.618308,0.332750
0.417,0.477637,0.477637,,,0.745544,0.400099
0.418,0.507806,0.507806,,,0.397528,0.457396
0.419,0.521274,0.521274,,,0.906356,0.502239
0.42,0.580328,0.580328,,,0.615423,0.536469
0.421,0.657322,0.657322,,,0.423491,0.586308
0.422,0.730943,0.730943,,,0.576661,0.656198
0.423,0.706204,0.706204,,,0.378954,0.698156
0.424,0.75823,0.75823,,,0.608318,0.731792
0.425,0.721002,0.721002,,,0.799702,0.728479
0.426,0.747572,0.747572,,,1.160255,0.742268
0.427,0.771568,0.771568,,,1.428145,0.746714
0.428,0.73275,0.73275,,,0.473416,0.750630
0.429,0.785989,0.785989,,,0.969807,0.763436
0.43,0.777006,0.777006,,,0.496854,0.765248
0.431,0.75471,0.75471,,,0.907686,0.772568
0.432,0.68878,0.68878,,,0.687445,0.740165
0.433,0.614943,0.614943,,,0.149667,0.686144
0.434,0.663491,0.663491,,,0.964584,0.655738
0.435,0.656625,0.656625,,,0.509506,0.645020
0.436,0.713338,0.713338,,,0.554446,0.677818
0.437,0.739432,0.739432,,,0.435026,0.703132
0.438,0.816384,0.816384,,,0.615934,0.756385
0.439,0.90002,0.90002,,,1.007445,0.818612
0.44,0.880024,0.880024,,,0.894283,0.865476
0.441,0.970296,0.970296,,,1.120696,0.916780
0.442,1.016066,1.016066,,,1.194717,0.955462
0.443,1.108333,1.108333,,,1.533919,1.031565
0.444,1.159277,1.159277,,,1.069663,1.094559
0.445,1.155024,1.155024,,,0.744631,1.140878
0.446,1.168483,1.168483,,,1.502493,1.160928
0.447,1.199854,1.199854,,,1.057919,1.174454
0.448,1.223685,1.223685,,,1.449962,1.197341
0.449,1.15903,1.15903,,,1.176323,1.194190
0.45,1.137765,1.137765,,,0.960659,1.173493
0.451,1.17143,1.17143,,,1.042336,1.156075
0.452,1.085787,1.085787,,,1.465773,1.131661
0.453,1.076062,1.076062,,,1.456853,1.111093
0.454,1.025223,1.025223,,,0.822718,1.062357
0.455,1.013305,1.013305,,,0.835746,1.038197
0.456,0.994397,0.994397,,,1.114948,1.010975
0.457,0.9515,0.9515,,,0.560415,0.986401
0.458,0.859853,0.859853,,,0.950947,0.935250
0.459,0.796487,0.796487,,,0.890731,0.869280
0.46,0.808368,0.808368,,,1.045229,0.821569
0.461,0.821351,0.821351,,,0.752674,0.808735
0.462,0.865784,0.865784,,,0.570463,0.831834
0.463,0.932445,0.932445,,,0.457663,0.873193
0.464,0.900564,0.900564,,,0.759823,0.899598
0.465,0.902618,0.902618,,,0.953404,0.911876
0.466,0.862709,0.862709,,,0.978561,0.888630
0.467,0.845889,0.845889,,,1.603715,0.870405
0.468,0.852565,0.852565,,,1.293683,0.853721
0.469,0.876824,0.876824,,,0.600257,0.858426
0.47,0.844597,0.844597,,,0.91333,0.857995
0.471,0.831878,0.831878,,,0.606228,0.851100
0.472,0.757184,0.757184,,,0.567647,0.811220
0.473,0.658825,0.658825,,,0.643905,0.749296
0.474,0.662163,0.662163,,,0.724509,0.692724
0.475,0.667114,0.667114,,,0.405329,0.662701
0.476,0.679888,0.679888,,,0.813491,0.669722
0.477,0.686671,0.686671,,,0.156927,0.677891
0.478,0.711892,0.711892,,,0.521769,0.692817
0.479,0.712894,0.712894,,,1.330406,0.703819
0.48,0.701836,0.701836,,,0.654709,0.708874
0.481,0.699729,0.699729,,,1.053851,0.704820
0.482,0.688324,0.688324,,,0.68084,0.696630
0.483,0.694987,0.694987,,,0.845078,0.694347
0.484,0.702119,0.702119,,,0.65493,0.695143
0.485,0.638864,0.638864,,,0.602868,0.678657
0.486,0.609086,0.609086,,,0.382146,0.650023
0.487,0.517395,0.517395,,,0.688042,0.588448
0.488,0.473004,0.473004,,,0.23022,0.533162
0.489,0.387503,0.387503,,,0.600217,0.459301
0.49,0.349518,0.349518,,,0.634603,0.403342
0.491,0.238866,0.238866,,,0.327147,0.325296
0.492,0.188819,0.188819,,,0.045258,0.259068
0.493,0.066996,0.066996,,,0.19253,0.164894
0.494,0.002529,0.002529,,,-0.095432,0.086115
0.495,-0.014839,-0.014839,,,0.237099,0.018229
0.496,-0.045354,-0.045354,,,-0.6143,-0.019221
0.497,-0.089738,-0.089738,,,-0.168377,-0.049977
0.498,-0.128675,-0.128675,,,-0.65201,-0.087922
0.499,-0.221131,-0.221131,,,-0.478911,-0.146515
0.5,-0.223317,-0.223317,,,0.409159,-0.191041
0.501,-0.178603,-0.178603,,,0.298948,-0.207684
0.502,-0.116019,-0.116019,,,-0.161078,-0.172646
0.503,-0.127894,-0.127894,,,-0.383056,-0.140839
