t,value,ema17,ema1_ma2,ema1_ma3,ema2_ma1,ema2_ma2,filtered,,filtered,fifth,,forth,,third,,second,,first,,,
0.018,0.681805,0.497786,0.323213,0.344785,0.359419,0.371849,0.497786,,0.497786,0.371849,,0.359419,,0.344785,,0.323213,,0.217658,,,
0.019,0.485302,0.51349,0.347527,0.372888,0.39089,0.405885,0.51349,,0.51349,0.405885,,0.39089,,0.372888,,0.347527,,0.23104,,,
0.02,0.532327,0.552185,0.375247,0.404776,0.426249,0.443818,0.552185,,0.552185,0.443818,,0.426249,,0.404776,,0.375247,,0.246105,,,
0.021,0.470432,0.65061,0.389524,0.417907,0.437295,0.451802,0.65061,,0.65061,0.451802,,0.437295,,0.417907,,0.389524,,0.257321,,,
0.022,1.121743,0.706917,0.499357,0.558674,0.608407,0.652784,0.706917,,0.706917,0.652784,,0.608407,,0.558674,,0.499357,,0.300542,,,
0.023,0.776756,0.793491,0.540967,0.602291,0.650494,0.689976,0.793491,,0.793491,0.689976,,0.650494,,0.602291,,0.540967,,0.324353,,,
0.024,0.74626,0.820709,0.571761,0.631085,0.674436,0.706861,0.820709,,0.820709,0.706861,,0.674436,,0.631085,,0.571761,,0.345448,,,
0.025,0.801467,0.908547,0.606217,0.665161,0.706193,0.735243,0.908547,,0.908547,0.735243,,0.706193,,0.665161,,0.606217,,0.368249,,,
0.026,1.078873,0.91864,0.677115,0.747903,0.799363,0.838332,0.91864,,0.91864,0.838332,,0.799363,,0.747903,,0.677115,,0.40378,,,
0.027,1.021548,0.927973,0.72878,0.802632,0.85491,0.893297,0.927973,,0.927973,0.893297,,0.85491,,0.802632,,0.72878,,0.434669,,,
0.028,1.01189,0.867343,0.771247,0.844484,0.894155,0.928875,0.867343,,0.867343,0.928875,,0.894155,,0.844484,,0.771247,,0.46353,,,
0.029,0.981205,0.8759,0.80274,0.871828,0.915917,0.944574,0.8759,,0.8759,0.944574,,0.915917,,0.871828,,0.80274,,0.489414,,,
0.03,1.451511,0.901667,0.900056,0.987765,1.049816,1.096655,0.901667,,0.901667,1.096655,,1.049816,,0.987765,,0.900056,,0.537518,,,
0.031,0.643353,0.890664,0.861551,0.918882,0.9482,0.960664,0.890664,,0.890664,0.960664,,0.9482,,0.918882,,0.861551,,0.54281,,,
0.032,0.573098,0.838394,0.818283,0.849725,0.854425,0.844394,0.838394,,0.838394,0.844394,,0.854425,,0.849725,,0.818283,,0.544325,,,
0.033,0.454807,0.796878,0.763761,0.770742,0.75452,0.727518,0.796878,,0.796878,0.727518,,0.75452,,0.770742,,0.763761,,0.539849,,,
0.034,0.870889,0.802548,0.77983,0.790771,0.783612,0.770529,0.802548,,0.802548,0.770529,,0.783612,,0.790771,,0.77983,,0.556401,,,
0.035,1.029698,0.820078,0.817311,0.838557,0.845134,0.84828,0.820078,,0.820078,0.84828,,0.845134,,0.838557,,0.817311,,0.580066,,,
0.036,0.680432,0.795853,0.796779,0.806932,0.803958,0.797926,0.795853,,0.795853,0.797926,,0.803958,,0.806932,,0.796779,,0.585084,,,
0.037,0.503904,0.817956,0.752848,0.746326,0.728945,0.709719,0.817956,,0.817956,0.709719,,0.728945,,0.746326,,0.752848,,0.581025,,,
0.038,0.564875,0.875617,0.724652,0.710036,0.687927,0.666266,0.875617,,0.875617,0.666266,,0.687927,,0.710036,,0.724652,,0.580217,,,
0.039,1.074255,0.944044,0.777092,0.78288,0.784509,0.788663,0.944044,,0.944044,0.788663,,0.784509,,0.78288,,0.777092,,0.604919,,,
0.04,1.174033,0.978809,0.836633,0.86111,0.88189,0.904274,0.978809,,0.978809,0.904274,,0.88189,,0.86111,,0.836633,,0.633375,,,
0.041,1.185043,1.01645,0.888895,0.925897,0.957678,0.988505,1.01645,,1.01645,0.988505,,0.957678,,0.925897,,0.888895,,0.660958,,,
0.042,0.886487,1.065906,0.888534,0.918015,0.939881,0.957899,1.065906,,1.065906,0.957899,,0.939881,,0.918015,,0.888534,,0.672235,,,
0.043,1.207369,1.140029,0.936359,0.975886,1.006753,1.03274,1.140029,,1.140029,1.03274,,1.006753,,0.975886,,0.936359,,0.698991,,,
0.044,1.207504,1.187002,0.977031,1.022209,1.05694,1.085169,1.187002,,1.187002,1.085169,,1.05694,,1.022209,,0.977031,,0.724417,,,
0.045,1.253295,1.188137,1.01847,1.068427,1.106029,1.135607,1.188137,,1.188137,1.135607,,1.106029,,1.068427,,1.01847,,0.750861,,,
0.046,1.443755,1.18387,1.082263,1.143492,1.190461,1.228051,1.18387,,1.18387,1.228051,,1.190461,,1.143492,,1.082263,,0.785506,,,
0.047,1.224444,1.11644,1.10359,1.159683,1.198956,1.226969,1.11644,,1.11644,1.226969,,1.198956,,1.159683,,1.10359,,0.807453,,,
0.048,1.319258,1.102929,1.13594,1.191598,1.229032,1.254656,1.102929,,1.102929,1.254656,,1.229032,,1.191598,,1.13594,,0.833043,,,
0.049,1.081584,1.05324,1.127787,1.169595,1.19217,1.202734,1.05324,,1.05324,1.202734,,1.19217,,1.169595,,1.127787,,0.84547,,,
0.05,1.086736,0.997651,1.121629,1.153023,1.165811,1.167935,0.997651,,0.997651,1.167935,,1.165811,,1.153023,,1.121629,,0.857533,,,
0.051,1.12709,0.948218,1.122448,1.147837,1.156131,1.155681,0.948218,,0.948218,1.155681,,1.156131,,1.147837,,1.122448,,0.871011,,,
0.052,0.443323,0.931749,1.02058,1.006934,0.977929,0.941974,0.931749,,0.931749,0.941974,,0.977929,,1.006934,,1.02058,,0.849627,,,
0.053,0.737857,0.874188,0.978171,0.953118,0.917911,0.880739,0.874188,,0.874188,0.880739,,0.917911,,0.953118,,0.978171,,0.844038,,,
0.054,0.660792,0.862344,0.930564,0.894653,0.853631,0.814755,0.862344,,0.862344,0.814755,,0.853631,,0.894653,,0.930564,,0.834876,,,
0.055,0.596025,0.804582,0.880383,0.834928,0.78923,0.749136,0.804582,,0.804582,0.749136,,0.78923,,0.834928,,0.880383,,0.822933,,,
0.056,0.709533,0.787807,0.854756,0.809849,0.769306,0.737255,0.787807,,0.787807,0.737255,,0.769306,,0.809849,,0.854756,,0.817263,,,
0.057,1.262596,0.784996,0.915932,0.900398,0.892628,0.894857,0.784996,,0.784996,0.894857,,0.892628,,0.900398,,0.915932,,0.83953,,,
0.058,0.591277,0.858823,0.867234,0.838574,0.81729,0.803783,0.858823,,0.858823,0.803783,,0.81729,,0.838574,,0.867234,,0.827117,,,
0.059,1.188974,0.910691,0.915495,0.908654,0.910211,0.91934,0.910691,,0.910691,0.91934,,0.910211,,0.908654,,0.915495,,0.84521,,,
0.06,0.446196,0.971438,0.8451,0.816162,0.794207,0.777397,0.971438,,0.971438,0.777397,,0.794207,,0.816162,,0.8451,,0.825259,,,
0.061,0.902219,1.0047,0.853668,0.833374,0.82121,0.814844,1.0047,,1.0047,0.814844,,0.82121,,0.833374,,0.853668,,0.829107,,,
0.062,1.096159,1.020546,0.890041,0.885931,0.889948,0.899238,1.020546,,1.020546,0.899238,,0.889948,,0.885931,,0.890041,,0.84246,,,
0.063,1.255425,1.016608,0.944849,0.95983,0.981317,1.006094,1.016608,,1.016608,1.006094,,0.981317,,0.95983,,0.944849,,0.863108,,,
0.064,1.308406,1.038446,0.999383,1.029545,1.063089,1.096788,1.038446,,1.038446,1.096788,,1.063089,,1.029545,,0.999383,,0.885373,,,
0.065,1.329011,0.969113,1.048827,1.089438,1.12957,1.166455,0.969113,,0.969113,1.166455,,1.12957,,1.089438,,1.048827,,0.907555,,,
0.066,0.9619,0.963855,1.035788,1.06393,1.087652,1.105088,0.963855,,0.963855,1.105088,,1.087652,,1.06393,,1.035788,,0.910272,,,
0.067,0.88384,0.916119,1.012996,1.027912,1.036699,1.038714,0.916119,,0.916119,1.038714,,1.036699,,1.027912,,1.012996,,0.908951,,,
0.068,1.219278,0.88351,1.043938,1.066186,1.082344,1.092883,0.88351,,0.88351,1.092883,,1.082344,,1.066186,,1.043938,,0.924467,,,
0.069,0.831493,0.822242,1.012071,1.019247,1.019631,1.014466,0.822242,,0.822242,1.014466,,1.019631,,1.019247,,1.012071,,0.919818,,,
0.07,0.426311,0.768228,0.924207,0.90066,0.871301,0.83802,0.768228,,0.768228,0.83802,,0.871301,,0.90066,,0.924207,,0.895143,,,
0.071,0.388365,0.680696,0.843831,0.798201,0.750567,0.703123,0.680696,,0.680696,0.703123,,0.750567,,0.798201,,0.843831,,0.869804,,,
0.072,0.377121,0.642985,0.773824,0.713985,0.657206,0.605323,0.642985,,0.642985,0.605323,,0.657206,,0.713985,,0.773824,,0.84517,,,
0.073,0.737456,0.626958,0.768369,0.718679,0.677268,0.644963,0.626958,,0.626958,0.644963,,0.677268,,0.718679,,0.768369,,0.839784,,,
0.074,0.581485,0.557778,0.740337,0.69124,0.653322,0.625919,0.557778,,0.557778,0.625919,,0.653322,,0.69124,,0.740337,,0.826869,,,
0.075,0.714252,0.54808,0.736424,0.695843,0.668555,0.652419,0.54808,,0.54808,0.652419,,0.668555,,0.695843,,0.736424,,0.821238,,,
0.076,0.36616,0.547989,0.680884,0.629906,0.592956,0.566541,0.547989,,0.547989,0.566541,,0.592956,,0.629906,,0.680884,,0.798484,,,
0.077,0.54707,0.56218,0.660812,0.613339,0.581485,0.5607,0.56218,,0.56218,0.5607,,0.581485,,0.613339,,0.660812,,0.785914,,,
0.078,0.707544,0.578471,0.667822,0.63218,0.612999,0.604753,0.578471,,0.578471,0.604753,,0.612999,,0.63218,,0.667822,,0.781995,,,
0.079,0.4583,0.539904,0.636394,0.597404,0.574325,0.560817,0.539904,,0.539904,0.560817,,0.574325,,0.597404,,0.636394,,0.76581,,,
0.08,0.724818,0.559776,0.649657,0.622887,0.611948,0.610017,0.559776,,0.559776,0.610017,,0.611948,,0.622887,,0.649657,,0.763761,,,
0.081,0.425309,0.538042,0.616005,0.583371,0.565288,0.554605,0.538042,,0.538042,0.554605,,0.565288,,0.583371,,0.616005,,0.746838,,,
0.082,0.544468,0.555909,0.605274,0.575591,0.560083,0.551564,0.555909,,0.555909,0.551564,,0.560083,,0.575591,,0.605274,,0.73672,,,
0.083,0.556323,0.563439,0.597932,0.571737,0.559143,0.552992,0.563439,,0.563439,0.552992,,0.559143,,0.571737,,0.597932,,0.7277,,,
0.084,0.313213,0.547708,0.555224,0.520032,0.497661,0.481058,0.547708,,0.547708,0.481058,,0.497661,,0.520032,,0.555224,,0.706976,,,
0.085,0.800082,0.552284,0.591953,0.576042,0.573266,0.576765,0.552284,,0.552284,0.576765,,0.573266,,0.576042,,0.591953,,0.711631,,,
0.086,0.47517,0.50345,0.574435,0.555868,0.548742,0.546287,0.50345,,0.50345,0.546287,,0.548742,,0.555868,,0.574435,,0.699808,,,
0.087,0.5627,0.465162,0.572675,0.557234,0.552231,0.551211,0.465162,,0.465162,0.551211,,0.552231,,0.557234,,0.572675,,0.692952,,,
0.088,0.629906,0.418612,0.58126,0.571769,0.57165,0.574819,0.418612,,0.418612,0.574819,,0.57165,,0.571769,,0.58126,,0.6898,,,
0.089,0.534501,0.321762,0.574246,0.564315,0.562363,0.562724,0.321762,,0.321762,0.562724,,0.562363,,0.564315,,0.574246,,0.682035,,,
0.09,0.508633,0.249861,0.564404,0.553179,0.54893,0.546497,0.249861,,0.249861,0.546497,,0.54893,,0.553179,,0.564404,,0.673365,,,
0.091,0.187642,0.135155,0.50789,0.480071,0.458608,0.43884,0.135155,,0.135155,0.43884,,0.458608,,0.480071,,0.50789,,0.649079,,,
0.092,0.004143,0.058606,0.432328,0.384886,0.344992,0.308431,0.058606,,0.058606,0.308431,,0.344992,,0.384886,,0.432328,,0.616832,,,
0.093,0.032424,0.013375,0.372342,0.314393,0.26685,0.225629,0.013375,,0.013375,0.225629,,0.26685,,0.314393,,0.372342,,0.587612,,,
0.094,-0.50903,-0.071347,0.240136,0.149709,0.07288,0.005231,-0.071347,,0.071347,0.005231,,0.07288,,0.149709,,0.240136,,0.53278,,,
0.095,-0.477699,-0.130251,0.132461,0.024227,-0.064765,-0.139648,-0.130251,,0.130251,0.139648,,0.064765,,0.024227,,0.132461,,0.482256,,,
0.096,-0.461688,-0.138294,0.043339,-0.072956,-0.163996,-0.23626,-0.138294,,0.138294,0.23626,,0.163996,,0.072956,,0.043339,,0.435059,,,
0.097,-0.366869,-0.16009,-0.018193,-0.131739,-0.214714,-0.275443,-0.16009,,0.16009,0.275443,,0.214714,,0.131739,,0.018193,,0.394962,,,
0.098,0.065166,-0.134198,-0.005689,-0.092358,-0.144744,-0.17326,-0.134198,,0.134198,0.17326,,0.144744,,0.092358,,0.005689,,0.378472,,,
0.099,-0.302036,-0.15671,-0.050141,-0.134293,-0.184067,-0.211893,-0.15671,,0.15671,0.211893,,0.184067,,0.134293,,0.050141,,0.344447,,,
0.1,-0.113449,-0.112077,-0.059637,-0.130124,-0.166412,-0.18236,-0.112077,,0.112077,0.18236,,0.166412,,0.130124,,0.059637,,0.321552,,,
0.101,0.420161,-0.094303,0.012333,-0.020067,-0.019769,-0.001603,-0.094303,,0.094303,0.001603,,0.019769,,0.020067,,0.012333,,0.326483,,,
0.102,-0.052113,-0.066699,0.002666,-0.026476,-0.027855,-0.016756,-0.066699,,0.066699,0.016756,,0.027855,,0.026476,,0.002666,,0.307553,,,
0.103,0.28895,-0.022351,0.045608,0.036609,0.051346,0.074956,-0.022351,,0.022351,0.074956,,0.051346,,0.036609,,0.045608,,0.306623,,,
0.104,-0.215207,-0.095128,0.006486,-0.013754,-0.015292,-0.012093,-0.095128,,0.095128,0.012093,,0.015292,,0.013754,,0.006486,,0.280531,,,
0.105,-0.018066,-0.083915,0.002803,-0.014617,-0.015986,-0.013885,-0.083915,,0.083915,0.013885,,0.015986,,0.014617,,0.002803,,0.265601,,,
0.106,-0.282177,-0.103531,-0.039944,-0.068129,-0.082533,-0.094373,-0.103531,,0.103531,0.094373,,0.082533,,0.068129,,0.039944,,0.238212,,,
0.107,-0.15805,-0.202084,-0.05766,-0.086113,-0.101413,-0.113476,-0.202084,,0.202084,0.113476,,0.101413,,0.086113,,0.05766,,0.218399,,,
0.108,0.12096,-0.287598,-0.030867,-0.044698,-0.045819,-0.043145,-0.287598,,0.287598,0.043145,,0.045819,,0.044698,,0.030867,,0.213527,,,
0.109,-0.735384,-0.367898,-0.136544,-0.182836,-0.218211,-0.250817,-0.367898,,0.367898,0.250817,,0.218211,,0.182836,,0.136544,,0.166082,,,
0.11,-0.17869,-0.422229,-0.142866,-0.182006,-0.20833,-0.229179,-0.422229,,0.422229,0.229179,,0.20833,,0.182006,,0.142866,,0.148843,,,
0.111,-0.329221,-0.475328,-0.170819,-0.211449,-0.238553,-0.259191,-0.475328,,0.475328,0.259191,,0.238553,,0.211449,,0.170819,,0.12494,,,
0.112,-0.663927,-0.510066,-0.244786,-0.301945,-0.344897,-0.380612,-0.510066,,0.510066,0.380612,,0.344897,,0.301945,,0.244786,,0.085497,,,
0.113,-0.992769,-0.511411,-0.356983,-0.44011,-0.506865,-0.564259,-0.511411,,0.511411,0.564259,,0.506865,,0.44011,,0.356983,,0.031583,,,
0.114,-0.594352,-0.585652,-0.392588,-0.470958,-0.528736,-0.573287,-0.585652,,0.585652,0.573287,,0.528736,,0.470958,,0.392588,,0.000287,,,
0.115,-0.812838,-0.600148,-0.455626,-0.539334,-0.599762,-0.645152,-0.600148,,0.600148,0.645152,,0.599762,,0.539334,,0.455626,,0.04037,,,
0.116,-0.602162,-0.629114,-0.477606,-0.5519,-0.600362,-0.632255,-0.629114,,0.629114,0.632255,,0.600362,,0.5519,,0.477606,,0.068459,,,
0.117,-0.664289,-0.640446,-0.505609,-0.574378,-0.616344,-0.641865,-0.640446,,0.640446,0.641865,,0.616344,,0.574378,,0.505609,,0.098251,,,
0.118,-0.17285,-0.58843,-0.455695,-0.494072,-0.50547,-0.501161,-0.58843,,0.58843,0.501161,,0.50547,,0.494072,,0.455695,,0.101981,,,
0.119,-0.695693,-0.520342,-0.491695,-0.534396,-0.553026,-0.55952,-0.520342,,0.520342,0.55952,,0.553026,,0.534396,,0.491695,,0.131666,,,
0.12,-0.894835,-0.502678,-0.552166,-0.606484,-0.638478,-0.660115,-0.502678,,0.502678,0.660115,,0.638478,,0.606484,,0.552166,,0.169825,,,
0.121,-0.497321,-0.437853,-0.543939,-0.584651,-0.603189,-0.611277,-0.437853,,0.437853,0.611277,,0.603189,,0.584651,,0.543939,,0.1862,,,
0.122,-0.453868,-0.469014,-0.530428,-0.558495,-0.565859,-0.564054,-0.469014,,0.469014,0.564054,,0.565859,,0.558495,,0.530428,,0.199583,,,
0.123,-0.091752,-0.485432,-0.464627,-0.465146,-0.447332,-0.422363,-0.485432,,0.485432,0.422363,,0.447332,,0.465146,,0.464627,,0.194191,,,
0.124,-0.243802,-0.561202,-0.431503,-0.420877,-0.39645,-0.368795,-0.561202,,0.561202,0.368795,,0.39645,,0.420877,,0.431503,,0.196672,,,
0.125,-0.400045,-0.582136,-0.426784,-0.416711,-0.397348,-0.37817,-0.582136,,0.582136,0.37817,,0.397348,,0.416711,,0.426784,,0.206841,,,
0.126,-0.099766,-0.619141,-0.377732,-0.353322,-0.322953,-0.294649,-0.619141,,0.619141,0.294649,,0.322953,,0.353322,,0.377732,,0.201487,,,
0.127,-0.944937,-0.644051,-0.462812,-0.471645,-0.478449,-0.489735,-0.644051,,0.644051,0.489735,,0.478449,,0.471645,,0.462812,,0.238659,,,
0.128,-0.844882,-0.70181,-0.520123,-0.546292,-0.570057,-0.596279,-0.70181,,0.70181,0.596279,,0.570057,,0.546292,,0.520123,,0.268971,,,
0.129,-1.006324,-0.830538,-0.593053,-0.638299,-0.679124,-0.719293,-0.830538,,0.830538,0.719293,,0.679124,,0.638299,,0.593053,,0.305838,,,
0.13,-0.92596,-0.935254,-0.642989,-0.695831,-0.740833,-0.781293,-0.935254,,0.935254,0.781293,,0.740833,,0.695831,,0.642989,,0.336844,,,
0.131,-1.30189,-0.989885,-0.741824,-0.817043,-0.881097,-0.937472,-0.989885,,0.989885,0.937472,,0.881097,,0.817043,,0.741824,,0.385097,,,
0.132,-0.77134,-1.056099,-0.746252,-0.807902,-0.853658,-0.887632,-1.056099,,1.056099,0.887632,,0.853658,,0.807902,,0.746252,,0.404409,,,
0.133,-1.089212,-1.010951,-0.797696,-0.864164,-0.912546,-0.948106,-1.010951,,1.010951,0.948106,,0.912546,,0.864164,,0.797696,,0.438649,,,
0.134,-1.50776,-0.945828,-0.904205,-0.992883,-1.06135,-1.116002,-0.945828,,0.945828,1.116002,,1.06135,,0.992883,,0.904205,,0.492104,,,
0.135,-1.39568,-0.929502,-0.977927,-1.073443,-1.144932,-1.199906,-0.929502,,0.929502,1.199906,,1.144932,,1.073443,,0.977927,,0.537283,,,
0.136,-1.000984,-0.953992,-0.981385,-1.058951,-1.108945,-1.140229,-0.953992,,0.953992,1.140229,,1.108945,,1.058951,,0.981385,,0.560468,,,
0.137,-0.82812,-0.971151,-0.958395,-1.012785,-1.038739,-1.046596,-0.971151,,0.971151,1.046596,,1.038739,,1.012785,,0.958395,,0.573851,,,
0.138,-0.448314,-0.967738,-0.881883,-0.899891,-0.891133,-0.867112,-0.967738,,0.967738,0.867112,,0.891133,,0.899891,,0.881883,,0.567574,,,
0.139,-0.128525,-0.962897,-0.768879,-0.745617,-0.700481,-0.645536,-0.962897,,0.962897,0.645536,,0.700481,,0.745617,,0.768879,,0.545622,,,
0.14,-0.826734,-0.908764,-0.777558,-0.761841,-0.732044,-0.699895,-0.908764,,0.908764,0.699895,,0.732044,,0.761841,,0.777558,,0.559677,,,
0.141,-1.195352,-0.871478,-0.840227,-0.848543,-0.847871,-0.848532,-0.871478,,0.871478,0.848532,,0.847871,,0.848543,,0.840227,,0.591461,,,
0.142,-1.49064,-0.860115,-0.937789,-0.976962,-1.008563,-1.041165,-0.860115,,0.860115,1.041165,,1.008563,,0.976962,,0.937789,,0.63642,,,
0.143,-0.7338,-0.835802,-0.90719,-0.92833,-0.939872,-0.948955,-0.835802,,0.835802,0.948955,,0.939872,,0.92833,,0.90719,,0.641289,,,
0.144,-1.035958,-0.876009,-0.926506,-0.949856,-0.963894,-0.975056,-0.876009,,0.876009,0.975056,,0.963894,,0.949856,,0.926506,,0.661022,,,
0.145,-0.912296,-0.95956,-0.924374,-0.942344,-0.950994,-0.956228,-0.95956,,0.95956,0.956228,,0.950994,,0.942344,,0.924374,,0.673586,,,
0.146,-0.985532,-1.00913,-0.933548,-0.950981,-0.959629,-0.965019,-1.00913,,1.00913,0.965019,,0.959629,,0.950981,,0.933548,,0.689183,,,
0.147,-0.875996,-1.047552,-0.924915,-0.935984,-0.938721,-0.938312,-1.047552,,1.047552,0.938312,,0.938721,,0.935984,,0.924915,,0.698524,,,
0.148,-0.560676,-1.030517,-0.870279,-0.860923,-0.844209,-0.825021,-1.030517,,1.030517,0.825021,,0.844209,,0.860923,,0.870279,,0.691632,,,
0.149,-0.890589,-1.072759,-0.873326,-0.866856,-0.855804,-0.844692,-1.072759,,1.072759,0.844692,,0.855804,,0.866856,,0.873326,,0.701579,,,
0.15,-1.04759,-1.038337,-0.899465,-0.903003,-0.903751,-0.905561,-1.038337,,1.038337,0.905561,,0.903751,,0.903003,,0.899465,,0.71888,,,
0.151,-1.372006,-1.058438,-0.970346,-0.996803,-1.020815,-1.045495,-1.058438,,1.058438,1.045495,,1.020815,,0.996803,,0.970346,,0.751536,,,
0.152,-1.617989,-1.045472,-1.067493,-1.12104,-1.170108,-1.217243,-1.045472,,1.045472,1.217243,,1.170108,,1.12104,,1.067493,,0.794859,,,
0.153,-1.303258,-1.078193,-1.102858,-1.157484,-1.203396,-1.243047,-1.078193,,1.078193,1.243047,,1.203396,,1.157484,,1.102858,,0.820279,,,
0.154,-1.198461,-1.152457,-1.117198,-1.165679,-1.202162,-1.229672,-1.152457,,1.152457,1.229672,,1.202162,,1.165679,,1.117198,,0.839188,,,
0.155,-0.657309,-1.184275,-1.048215,-1.064005,-1.065949,-1.057963,-1.184275,,1.184275,1.057963,,1.065949,,1.064005,,1.048215,,0.830094,,,
0.156,-1.133416,-1.188735,-1.060995,-1.077887,-1.082816,-1.080599,-1.188735,,1.188735,1.080599,,1.082816,,1.077887,,1.060995,,0.84526,,,
0.157,-0.842898,-1.079796,-1.02828,-1.03089,-1.022836,-1.009289,-1.079796,,1.079796,1.009289,,1.022836,,1.03089,,1.02828,,0.845142,,,
0.158,-1.235929,-1.02383,-1.059428,-1.071897,-1.076109,-1.077281,-1.02383,,1.02383,1.077281,,1.076109,,1.071897,,1.059428,,0.864681,,,
0.159,-1.37758,-0.94745,-1.107151,-1.133034,-1.151477,-1.16737,-0.94745,,0.94745,1.16737,,1.151477,,1.133034,,1.107151,,0.890326,,,
0.16,-1.240592,-0.925943,-1.127167,-1.154546,-1.173756,-1.189337,-0.925943,,0.925943,1.189337,,1.173756,,1.154546,,1.127167,,0.90784,,,
0.161,-1.096645,-0.903153,-1.122588,-1.142965,-1.154478,-1.161529,-0.903153,,0.903153,1.161529,,1.154478,,1.142965,,1.122588,,0.91728,,,
0.162,-0.173679,-0.853156,-0.980252,-0.949108,-0.909278,-0.865174,-0.853156,,0.853156,0.865174,,0.909278,,0.949108,,0.980252,,0.8801,,,
0.163,-1.002367,-0.846871,-0.983569,-0.95976,-0.93255,-0.906332,-0.846871,,0.846871,0.906332,,0.93255,,0.95976,,0.983569,,0.886213,,,
0.164,-0.463069,-0.805196,-0.905494,-0.860422,-0.81518,-0.773353,-0.805196,,0.805196,0.773353,,0.81518,,0.860422,,0.905494,,0.865056,,,
0.165,-0.961885,-0.771367,-0.913953,-0.880714,-0.851856,-0.829913,-0.771367,,0.771367,0.829913,,0.851856,,0.880714,,0.913953,,0.869897,,,
0.166,-0.406623,-0.723871,-0.837853,-0.785896,-0.740548,-0.702926,-0.723871,,0.723871,0.702926,,0.740548,,0.785896,,0.837853,,0.846734,,,
0.167,-0.583453,-0.717318,-0.799693,-0.745407,-0.701274,-0.667084,-0.717318,,0.717318,0.667084,,0.701274,,0.745407,,0.799693,,0.83357,,,
0.168,-0.773762,-0.817856,-0.795804,-0.751078,-0.719396,-0.699087,-0.817856,,0.817856,0.699087,,0.719396,,0.751078,,0.795804,,0.830579,,,
0.169,-0.777506,-0.845146,-0.793059,-0.756364,-0.733924,-0.722613,-0.845146,,0.845146,0.722613,,0.733924,,0.756364,,0.793059,,0.827926,,,
0.17,-1.005453,-0.880806,-0.824918,-0.806182,-0.801806,-0.807465,-0.880806,,0.880806,0.807465,,0.801806,,0.806182,,0.824918,,0.836802,,,
0.171,-0.718137,-0.82982,-0.808901,-0.788573,-0.780889,-0.780667,-0.82982,,0.82982,0.780667,,0.780889,,0.788573,,0.808901,,0.830869,,,
